Plant,Price EUR,Pot Size,Height,Product URL,Catalogue Page
Acer palmatum 'Dissectum' €14.88 19 cm 55-75 cm,14.88,19 cm,75 cm,https://www.floraccess.com/en/product/37485/acer-palmatum-dissectum/?source=Search,331
Acer palmatum 'Dissectum' €57.75 32 cm 90-110 cm,57.75,32 cm,110 cm,https://www.floraccess.com/en/product/125193/acer-palmatum-dissectum/?source=Search,366
Acer palmatum 'Dissectum' €73.69 30 cm 135-155 cm,73.69,30 cm,155 cm,https://www.floraccess.com/en/product/120369/acer-palmatum-dissectum/?source=Search,366
Acer palmatum 'Dissectum' €87.08 28 cm 110-130 cm,87.08,28 cm,130 cm,https://www.floraccess.com/en/product/102918/acer-palmatum-dissectum/?source=Search,366
Acer palmatum 'Dissectum' €99.40 29 cm 110-130 cm,99.4,29 cm,130 cm,https://www.floraccess.com/en/product/104981/acer-palmatum-dissectum/?source=Search,366
Acer palmatum 'Emerald Lace' €14.69 19 cm 55-75 cm,14.69,19 cm,75 cm,https://www.floraccess.com/en/product/37486/acer-palmatum-emerald-lace/?source=Search,56
Acer palmatum 'Emerald Lace' €3.11 10.5 cm 30-40 cm,3.11,10.5 cm,40 cm,https://www.floraccess.com/en/product/62640/acer-palmatum-emerald-lace/?source=Search,177
Acer palmatum 'Emerald Lace' €48.74 29 cm 100-120 cm,48.74,29 cm,120 cm,https://www.floraccess.com/en/product/37563/acer-palmatum-emerald-lace/?source=Search,366
Acer palmatum 'Emerald Lace' €59.96 32 cm 140-160 cm,59.96,32 cm,160 cm,https://www.floraccess.com/en/product/125190/acer-palmatum-emerald-lace/?source=Search,366
Acer palmatum 'Extravaganza' €10.03 15 cm 45-55 cm,10.03,15 cm,55 cm,https://www.floraccess.com/en/product/125275/acer-palmatum-extravaganza/?source=Search,123
Acer palmatum 'Firecracker' €59.96 32 cm 110-130 cm,59.96,32 cm,130 cm,https://www.floraccess.com/en/product/125189/acer-palmatum-firecracker/?source=Search,366
Acer palmatum 'Fireglow' €140.43 40 cm 115-135 cm,140.43,40 cm,135 cm,https://www.floraccess.com/en/product/125188/acer-palmatum-fireglow/?source=Search,366
Acer palmatum 'Fujinami-nishiki' €59.96 32 cm 110-130 cm,59.96,32 cm,130 cm,https://www.floraccess.com/en/product/125187/acer-palmatum-fujinami-nishiki/?source=Search,366
Acer palmatum 'Garnet' €13.10 19 cm 40-50 cm,13.1,19 cm,50 cm,https://www.floraccess.com/en/product/43914/acer-palmatum-garnet/?source=Search,173
